Sent,Tm,Lex,Luhn,Lsa,Tr,LDA
house and senate negotiators agreed thursday to require most federal health plans to cover prescription contraceptives for women giving an unusual victory on capitol hill to advocates of abortion rights.,200,0.004305896986814515,143,0.36684298611369903,0.003079334450636663,0.9664984097994413
but the future of the measure was in doubt because it was attached to a spending bill that includes a controversial provision regarding the federal election commission.,144,0.0033846802334840847,90,0.09397123481472722,0.003019173913462005,0.7568319354169245
that provision could scuttle the spending bill which would finance the treasury department and the postal service and which still must be approved by the house and senate.,215,0.0037384406818242555,84,-0.008216896862097098,0.0028175466260464883,0.9382513409691632
the contraceptive measure would require the federal health plans which affect .,89,0.0032250757964333732,50,0.5703578544409401,0.0027686596375974958,0.9128941064746706
million female federal employees who are of child bearing age to cover the five methods of contraception that have been approved by the food and drug administration for use in this country birth control pills diaphragms inter uterine devices norplant and depo provera.,91,0.0022678160995450035,162,0.11363988626335261,0.002657146233280386,0.9738822747494847
currently only percent of federal health plans cover those methods.,59,0.002436821468183325,35,0.49606003771089424,0.0029202557037553115,0.8976679875984882
the house and senate approved the contraceptive measure earlier this year.,173,0.005529111896716698,47,0.1586653012246243,0.00293533440554953,0.658779561818805
but the opponents of abortion were furious about the approval and persuaded republican leaders to have negotiators reopen discussion on the matter.,56,0.001557658136976265,87,-0.0005191856459365041,0.0028320391840509322,0.9342026302001327
the cost of contraceptives has driven up the out of pocket cost of health care for women.,24,0.0011758599365331865,47,0.17832426234679455,0.0026376408361009377,0.923170458052708
and many male members of congress seemed persuaded to support coverage of contraceptives for women since almost all of the federal health plans cover viagra the male impotency drug.,115,0.0032589347959255843,104,0.35799367430785095,0.00280133854627699,0.958863480103938
thursday with pressure building to resolve the spending bills before oct.,77,0.003202856405119176,46,-0.014225202743355049,0.002971973722137322,0.9006111868074929
when temporary financing of the government expires the negotiators agreed to include the contraceptive measure in their conference report on the . billion bill for the treasury department and postal service.,165,0.0030704788433174915,134,0.09314268428415051,0.002948226332484036,0.6777218951871811
rep. nita lowey d n.y. who pushed the contraceptive measure through the house hailed thursday s agreement as the first major accomplishment by abortion rights advocates since the republicans took control of congress in .,234,0.0032596346724946116,128,0.09369597752710195,0.002976006338007307,0.96283286745772
she said the negotiators had agreed to include the measure because in an election year they did not want to be perceived as opposing contraception or be seen as rejecting a measure that had passed both the house and senate.,203,0.003675237989560506,96,0.09624138605994026,0.0030086385144167146,0.862010014261272
but many democrats said the were upset that the bill contains a provision that is seen as interfering with the independence of the federal election commission.,128,0.00251659836040603,73,0.039409376575809285,0.0029420979981671694,0.9132971354516465
that provision would require a four vote majority among the seven federal election commissioners every four years to retain the general counsel and staff director.,104,0.0027079557482701205,92,0.06688777150531688,0.0029325733530234134,0.5212455442413528
the provision is aimed at getting rid of lawrence noble the current general counsel who has investigated the campaign finance practices of groups like the christian coalition.,34,0.0012746240491836442,106,-0.0032601337527282457,0.0029518549230457985,0.9571266131480837
the contraceptive measure is one of four related matters that have helped stall four spending bills.,82,0.004267563261974217,53,0.17458335826588361,0.0028727663616201857,0.7076839886993076
the three other bills that are stalled in part because of abortion related matters include the agriculture bill in which there is a dispute over whether the federal food and drug administration should use taxpayer money to approve drugs like ru which induce abortions.,156,0.002282141051978368,131,0.06404783505480004,0.0029354459592239412,0.9631088973299811
the foreign operations bill is also stalled over whether to finance international family planning programs that may also promote abortion while the labor and health bill is delayed because of a provision that would block access of minors to contraception.,166,0.0040722014363828215,139,0.07641000144543181,0.0029783673146841754,0.3564384860912138
addressing the measure on insurance coverage for contraceptives helen alvarez a spokeswoman for the national conference of catholic bishops said that the bill was bad policy.,91,0.0016701632823519243,112,0.1234502264826813,0.0029043401233867483,0.5963144583383276
she said contraception had failed to stem the number of abortions teen age pregnancies or out of wedlock births.,16,0.0012263777316442828,63,0.027241983171283856,0.002173760706009499,0.9385226611104784
public relations wise it s a good tactic for them she conceded but in terms of social policy this is a failure.,25,0.0017102144371731725,58,-0.01514442773063522,0.002926440009861004,0.6704787094260213
voting mainly on party lines on a question that has become a touchstone in the debate over development and preservation of wilderness the senate on thursday approved a gravel road through remote wildlife habitat in alaska.,92,0.0031048491487283944,128,-0.006025449177687968,0.0028674959103686328,0.9631251258708423
the road barely miles long would slice across the edge of a wildlife refuge and wilderness area on the aleutian peninsula where it would connect an isolated village called king cove to a long range air strip in the town of cold bay.,76,0.0030915457872809867,134,-0.004119116141539418,0.00242870688220483,0.6371820593257312
without the road its backers say about residents of king cove must continue to use unreliable air and boat service in emergencies often risking dangerous winds and seas as they seek medical evacuation to anchorage.,42,0.002568295404310831,117,-0.00015059041933540937,0.0026210767033982,0.9652418940692885
opponents of the road call the project an unjustifiable precedent that threatens the seasonal breeding grounds of protected migratory birds and they say that improved air or sea service would be a better alternative.,42,0.0018163454863565907,126,0.037812970536453924,0.0026473808362878428,0.9620209838142474
the vote thursday was a victory for the state s congressional delegation.,61,0.0029371739417822233,47,-0.022759137180127814,0.0028162846577211792,0.8909232230763618
but with president clinton likely to veto the measure the final outcome may depend on whether its sponsors can insert the road proposal into a huge spending bill that is likely to emerge just before congress heads home for the nov. elections.,242,0.0026863963298735184,119,-0.018532618867204007,0.003102025314456313,0.9584901162803197
three republicans voted against the bill and six democrats voted for it.,120,0.0066810892705771435,32,-0.11591600904509589,0.0026693039829347063,0.8475373940234979
the clinton administration has repeatedly warned that it will veto a big spending bill if it contains an array of anti environmental provisions that are under consideration.,140,0.0026460769338423813,98,-0.04042023244512892,0.0029548096926834064,0.9450217976174411
