Tm,Lex,Luhn,Lsa,Tr,LDA
23.92,0.08190585410277412,164,0.2248096361574496,0.0466889654793881,0.7788539030308075
25.76,0.11448403214054906,128,0.18476774774205282,0.058304043183592245,0.7752789809127008
13.8,0.159371891427314,117,0.22445355702181186,0.069652679318146,0.7727689078301359
57.96,0.10838974494913983,177,0.2948319757598495,0.053274217739764276,0.7833652338248269
17.48,0.1302943393254978,127,0.2575073009013717,0.07854258333803564,0.7752908981850204
14.72,0.11613727183788738,116,0.3167758264606683,0.09807150424653932,0.7698232633745858
27.6,0.11356778850420697,91,0.28192290624679145,0.06310251834258479,0.7651117185201569
15.64,0.08638984603980078,118,0.2801581120444501,0.06051462904925137,0.7711580081563901
25.76,0.12324270667814986,135,0.26535506834722206,0.07565795250077424,0.773846900009155
29.44,0.2531267210791234,152,0.19937513132693313,0.09017345159983617,0.7759446850165075
20.240000000000002,0.10490786550336115,93,0.2509361683373094,0.08030523059555719,0.7676449341647311
34.04,0.17819913994009776,108,0.21302240964489377,0.06440734083188769,0.7696213024180776
24.84,0.13525980712480348,130,0.2460255725961196,0.06284829740641006,0.7762867112674545
18.400000000000002,0.05860889548582546,152,0.2768285679667593,0.042321129366744106,0.778828456901303
47.84,0.07008375426069978,147,0.2465179404504855,0.03208063353819061,0.7742423002527818
15.64,0.11029687105881418,93,0.32767359259221596,0.07911686592086972,0.7695890162624964
12.88,0.08650681945737625,109,0.2481098583061556,0.08146069055782859,0.7711011265729819
20.240000000000002,0.1352109118661233,100,0.3317313633942142,0.1022712885707815,0.7697416257751877
19.32,0.09486068722719569,130,0.23019522060804262,0.07412685871609707,0.7753328262805368
69.92,0.048583944402493716,112,0.24326125648652763,0.030737466551485453,0.7722902535831335
25.76,0.10084007265265788,146,0.2502439472861387,0.0602781222037213,0.7774843589717904
24.84,0.06765175545389898,101,0.30512327141431894,0.055029162380409676,0.7634940431527082
27.6,0.12240866102409896,128,0.2555589413200772,0.08043325606202298,0.7707621645485713
22.080000000000002,0.10257426927144153,116,0.20658065445672824,0.05855444978839706,0.7737711787442808
18.400000000000002,0.07495328193239881,112,0.22557268524639892,0.0397180308127629,0.7723608761583454
16.560000000000002,0.12999050066593718,124,0.3176939092717913,0.06703678941027488,0.7752689888678135
20.240000000000002,0.10999511436458706,103,0.3003829527857864,0.0661339347707274,0.7711909142408553
34.04,0.21349732971950963,157,0.2652704474799615,0.11037368668300003,0.7783822224704249
21.16,0.06717396798491726,115,0.21450977984593675,0.04590769848663001,0.7691004616018376
