Sent,Tm,Lex,Luhn,Lsa,Tr,LDA
"
Turkey has sent 10,000 troops to its southeastern border with Syria 
amid growing tensions between the two neighbors, newspapers reported 
Thursday.",27.6,0.006385402973015071,85,-0.01238480176713136,0.005050726507449849,0.4257500854192946
"The daily Milliyet quoted eyewitnesses as saying they saw 
convoys of armored vehicles approaching the 600-kilometer (375-mile) 
border; the daily Cumhuriyet said around 10,000 troops were being 
deployed.",39.56,0.002985235203168027,114,-0.012023258481969147,0.004149696048178275,0.7721779091163196
"Defense Minister Ismet Sezgin denied any troop movement 
along the border, but said Turkey's patience was running out.",25.76,0.006489752284285455,66,0.040306887743955785,0.004900945430933576,0.557232409883516
"President 
Suleyman Demirel was harsher during parliament's opening session Thursday. 
",2.7600000000000002,0.002792091746825068,61,-0.06249836106161405,0.004297821894368256,0.6838299775395014
"``I declare to the world that we retain our right to counter Syria, 
which has not given up its hostile attitude despite all our warnings 
and peaceful approaches,'' he said.",14.72,0.002340384122335927,68,0.013349501563325256,0.004860926385898087,0.7489606684478124
"Turkey accuses Syria of harboring 
Turkish Kurdish rebels fighting for autonomy in Turkey's southeast; 
it says rebel leader Abdullah Ocalan lives in Damascus.",43.24,0.008801369563660899,107,0.009533076543526265,0.004945849342022608,0.3961905466664398
"Relations 
are also strained by the growing military and diplomatic ties between 
Turkey and Israel, which Damascus claims destabilizes the region. 
 
",41.4,0.005485534824597649,82,-0.02946737269330118,0.005125928754698206,0.7566562951940162
"Signaling it does not want to be involved in any potential military 
confrontation between Syria and Turkey, Israel is limiting routine 
exercises along its own border with Syria.",57.96,0.006235943143002437,92,0.035361400445879584,0.005140666656108291,0.7563300525003004
"Prime Minister Benjamin 
Netanyahu also stressed Israel's hands-off approach to the escalating 
dispute between Damascus and Ankara.",15.64,0.004591669658442903,87,-0.06269574712595288,0.0050907691143011,0.536832280317077
"``We have no part in this tension,'' 
",29.44,0.006102675149333484,11,-0.048697640877651105,0.004465525637094393,0.5116950937299002
Netanyahu told reporters in Jerusalem on Sunday.,0.0,0.003985771519064505,36,-0.1048961467489202,0.004419680927134477,0.7082988190718232
"``We have taken steps 
to reassure Syria.''",3.68,0.0035325302617711628,17,0.10823046075408176,0.004723367580586068,0.6515364683753352
"Defense Minister Yitzhak Mordechai instructed 
the army to limit military maneuvers along Israel's border with Syria 
to avoid giving any impression Israel is poised to act.",57.04,0.004480696319194156,114,0.0039000547018283593,0.004966057020465432,0.7686395166852844
"``Israel is 
not interested in confrontation with Syria, but rather in finding 
ways to renew talks,'' Mordechai's office quoted him Sunday as saying. 
",16.560000000000002,0.004464437349593353,77,-0.008026544655458732,0.0050838605443296455,0.6648183264676295
"Turkey amassed, 4th graf pvs 
 
Egyptian President Hosni Mubarak met here Sunday with Syrian President 
Hafez Assad to try to defuse growing tension between Syria and Turkey. 
",25.76,0.005304784622872097,113,-0.14267139657010797,0.004881218619152795,0.7731683047041547
"Mubarak left after the two-hour meeting without speaking to reporters. 
",3.68,0.002961175123583304,40,-0.06034043524730897,0.0046863269879207905,0.7184248069449812
"But Egyptian Foreign Minister Amr Moussa, who accompanied him on the 
trip, said before their departure that Mubarak ``backs dialogue for 
solving disputes and not military power and threats.''",41.4,0.005877536582640045,104,-0.10539429264282275,0.005078897707140531,0.7542290505601279
"Egypt's Middle 
East News Agency quoted Moussa as saying that Arab support for Syria 
should not be read in Ankara as animosity toward Turkey.",13.8,0.004667748649368531,78,-0.006112922610468914,0.00517674557317604,0.7606036738846151
"The agency 
also quoted Syrian Foreign Minister Farouq al-Sharaa as saying that 
Egypt and Syria ``agreed on the graveness of the situation and that 
it should be dealt with diplomatically and not through confrontation 
or threats.''",27.6,0.005672008886203256,117,-0.06857422150464729,0.005093767639152698,0.7691459399571595
"Al-Sharaa said he hoped Mubarak's trip to Turkey would 
achieve results.",7.36,0.004691493439120651,43,-0.07146504579615737,0.004935503740359325,0.7367090861971417
"Turkey's Foreign Ministry said Mubarak was expected 
in Ankara, possibly on Monday.",1.84,0.004896404362444234,55,-0.06208929210068684,0.004990271070960254,0.7364606846211692
"The talks in Damascus came as Turkey 
has massed forces near the border with Syria after threatening to 
eradicate Kurdish rebel bases in the neighboring country.",65.32000000000001,0.008804605609701362,90,0.019346253933896003,0.005177819588620284,0.7574754609830304
"In a show 
of force on Friday, Turkish jets buzzed the Syrian frontier, a Turkish 
daily reported.",21.16,0.0060785891834793,61,-0.05481040802037414,0.004907012057537083,0.7495623048689373
"Mubarak had made an unannounced trip to Riyadh on 
Saturday to get backing from King Fahd of Saudi Arabia for his mediation 
efforts.",14.72,0.00355060427814035,78,-0.05916417510241832,0.004709246139981236,0.756367167888119
"Egypt, the Arab world's largest country with 60 million people, 
frequently tries to mediate Arab and Muslim disputes.",34.96,0.003555137171325281,75,-0.018392900020735636,0.004949798764967292,0.760130165345026
"``We have to 
stop the tension and contain it, and military threats should stop,'' 
Mubarak told Egyptian reporters on Saturday.",58.88,0.006515517828176885,64,-0.12266232579316994,0.005110472343241418,0.7444483701311464
"``I am ready to exert 
every effort in this direction in Damascus and Ankara.''",14.72,0.004380312614689957,39,-0.019304750170630585,0.004777664028454841,0.7183318583267995
"Moussa said 
Mubarak had consulted by phone on Saturday with Assad and also conveyed 
a message to Turkish President Suleyman Demirel through Turkey's ambassador 
to Egypt, Yasser Yakis.",6.44,0.004760255493093042,115,-0.12264343969465875,0.004480510296031548,0.7645657507736696
"Turkey long has accused Syria of sheltering 
Kurdish rebels, who have been fighting since 1984 for more autonomy 
for the Kurdish population in southeastern Turkey.",26.68,0.007636893027977736,92,0.04611832379922657,0.004815105461122505,0.7608143404678607
"Syria denies sheltering 
Kurdish fighters.",0.0,0.004930436843626182,30,0.14811268832756777,0.004635046766138036,0.44130567276313687
"Late last week, Turkey sent 10,000 troops into northern 
Iraq to hit bases that Turkish Kurds use for their uprising.",13.8,0.0029748692210641854,61,-0.02785130059144802,0.00492057845710975,0.758885489015503
"For its 
part, Syria has accused Turkey of forming military alliances with 
Israel that threaten Arab security and undermine Syria's bargaining 
position in peace talks with the Jewish state.",71.76,0.006990628411458112,119,0.0635173271755108,0.005253635201561634,0.7707050943256685
"Damascus also accuses 
Turkey of building a series of dams on the Euphrates River that threaten 
to reduce Syria's water supply.",29.44,0.0032799794262220335,82,0.03799924333714553,0.004613353839423365,0.761214133506487
"Editorials in the Arab world called 
on both sides to show restraint.",14.72,0.005388731142379664,39,-0.02480678479141753,0.00473914893743372,0.6892393103354295
"In Baghdad, the newspaper Babil, 
published by Iraqi leader Saddam Hussein's son Odai, reported the 
Turkish incursion into Iraq.",12.88,0.0033416186839661226,86,-0.016512701517851086,0.004533917150155187,0.762422938394275
"``The region cannot bear another conflict 
nor an increase in the present tensions,'' Babil said in an editorial. 
",25.76,0.0034701338135823176,54,-0.02685539762582825,0.0046179683870359225,0.7362870140435281
"``The Turkish buildup does not serve anybody as much as it will harm 
Turkey and Syria and other parties in the region.''",18.400000000000002,0.004740339174374681,45,0.003984895117844085,0.005081848583949909,0.7328028205942126
