Sent,Tm,Lex,Luhn,Lsa,Tr,LDA
"
Indonesia on Tuesday denied claims that its troops massacred more 
than 40 East Timorese recently, and criticized Portugal for suspending 
U.N.-sponsored talks over the future of the troubled territory.",26.68,0.007862741961824168,123,0.04450656971331635,0.005980266907098837,0.7705398352326978
"Foreign 
Minister Ali Alatas questioned whether Portugal truly wanted to settle 
the problem of East Timor, a former Portuguese colony, the official 
Antara news agency reported.",20.240000000000002,0.010575900409782513,111,-0.031245957582129363,0.005750385859520895,0.636272836108432
"Portugal suspended the talks with Indonesia 
in New York last week following reports of a massacre of dozens of 
East Timorese rebels in a series of clashes with Indonesian troops. 
",5.5200000000000005,0.00912992309424428,99,0.009742892822023019,0.005903965298335917,0.4666591819823591
"East Timor's spiritual leader, Roman Catholic Bishop Carlos Belo, 
has said that between 30 and 40 people were reportedly killed near 
the villages of Alas and Same, 40 kilometers (25 miles) southeast 
of Dili, East Timor capital.",54.28,0.007314931789743632,134,-0.015839839689142453,0.005558186632955186,0.5454253522791813
"The 1996 Nobel Peace Prize winner said 
that so far, only 11 bodies had been identified.",3.68,0.004236885710367632,39,0.006783047929083484,0.004975833668838886,0.739623872763608
"Alatas said the claims 
of a massacre were not true.",3.68,0.004008624781301731,22,0.04113590862756033,0.004214009864063558,0.6912227657411284
"``The Portuguese delegation, without 
checking the truth of the information, decided to temporarily suspend 
the ongoing dialogue,'' Antara quoted Alatas as saying.",12.88,0.0028564941512821515,96,-0.01668942851592299,0.005347045093612403,0.7605871084681146
"The New York-based 
group Human Rights Watch said some deaths had occurred in fights between 
rebels and Indonesian forces.",8.280000000000001,0.004560248757519578,64,-0.0025376909180516447,0.00585454096835889,0.7540125906238653
"However, it could not confirm claims 
that dozens of people had been killed.",14.72,0.005630874310824363,27,0.026477358140405825,0.005315920097999215,0.6928905712420156
"Alatas said it was the third 
time that Portugal had unilaterally suspended talks over East Timor 
since 1986.",5.5200000000000005,0.006097411342112488,53,0.016037845361891866,0.005468009329162353,0.7453424597500488
"Based on this, Alatas said, Indonesia was skeptical about 
Portugal's sincerity, Antara reported.",1.84,0.00607613021859107,56,-0.006940573934007455,0.004945590637649459,0.4726927860722479
"In response, Portugal's Foreign 
Ministry accused Indonesia of breaking promises to reduce its military 
presence in East Timor and called for a permanent U.N. mission in 
the disputed territory.",35.88,0.009815248002217294,125,-0.003010213758580359,0.005952123066468446,0.5467039275456905
"``Unfortunately, Indonesia has increased its 
deployment and the brutality of its military actions in East Timor,'' 
said ministry spokesman Horacio Cesar.",27.6,0.0031758995170993167,88,-0.0185940427180502,0.005554669838671273,0.7562210260977489
"Meanwhile, about 500 students 
ended their noisy but peaceful rally outside the office of East Timor's 
governor in Dili Tuesday after receiving promises that the reported 
killings would be investigated.",13.8,0.006040680215574137,103,-0.02135738028078834,0.005930892368802032,0.7680748317500847
"In a dialogue with the students' representatives, 
Governor Abilio Osorio Soares and military chief Col. Suhartono Suratman 
agreed to set up a team to make a thorough investigation.",23.92,0.0033406219450810614,117,-0.0074061149855038895,0.005114641714195528,0.7687301658892823
"The group 
earlier had spent one night occupying the provincial Parliament and 
vowed to stay at the governor's office.",20.240000000000002,0.003317518569889362,67,-0.007676866434271439,0.005567090525111302,0.752305989566125
"The students also demanded 
a total withdrawal of Indonesian soldiers from East Timor.",1.84,0.008404523898034961,54,0.0012032553240700365,0.005729030428442289,0.7366006608898111
